fold,train_rows,train_balanced_rows,validation_rows,train_start,train_end,validation_start,validation_end,best_iteration,accuracy,precision,recall,f1,mcc,balanced_accuracy,roc_auc,log_loss,pearson_corr,spearman_corr,mutual_information,information_coefficient
1,2940,2258,294,2024-12-08 00:30:00+00:00,2025-01-07 15:15:00+00:00,2025-01-07 15:30:00+00:00,2025-01-10 16:45:00+00:00,278,0.5510204081632653,0.4857142857142857,0.6692913385826772,0.5629139072847682,0.1315656557100061,0.5651845914470273,0.6101419208826442,0.6789506484826475,0.07658198905653975,0.08467083189884322,0.01580971490591221,0.08467083189884322
2,5880,4726,294,2024-12-08 00:30:00+00:00,2025-02-07 06:15:00+00:00,2025-02-07 06:30:00+00:00,2025-02-10 07:45:00+00:00,42,0.5680272108843537,0.41304347826086957,0.34234234234234234,0.37438423645320196,0.04940997115861866,0.5236301875646138,0.5604785112981834,0.6693731398290356,-0.08967379406617146,-0.04000363913880671,0.025144967080457326,-0.04000363913880671
3,8820,6948,294,2024-12-08 00:30:00+00:00,2025-03-09 21:15:00+00:00,2025-03-09 21:30:00+00:00,2025-03-12 22:45:00+00:00,1,0.45918367346938777,0.4349775784753363,0.7461538461538462,0.5495750708215298,-0.025690159023012648,0.48893058161350844,0.4924015009380862,0.6937860784195216,-0.06563522006051406,-0.09021666998928439,0.0,-0.09021666998928439
4,11760,9094,294,2024-12-08 00:30:00+00:00,2025-04-09 12:15:00+00:00,2025-04-09 12:30:00+00:00,2025-04-12 13:45:00+00:00,10,0.5340136054421769,0.4926829268292683,0.753731343283582,0.5958702064896755,0.11244766937641619,0.551865671641791,0.593633395522388,0.6878510063063928,0.09671062968288806,0.11841528982857379,0.0,0.11841528982857379
5,14700,11582,294,2024-12-08 00:30:00+00:00,2025-05-10 03:15:00+00:00,2025-05-10 03:30:00+00:00,2025-05-13 04:45:00+00:00,76,0.54421768707483,0.5489130434782609,0.6644736842105263,0.6011904761904762,0.08257899081606143,0.5399833209785025,0.5554114158636027,0.6887301668648195,0.018297723591044965,0.06702981321937244,0.01363508610768549,0.06702981321937244
6,17640,13904,294,2024-12-08 00:30:00+00:00,2025-06-09 18:15:00+00:00,2025-06-09 18:30:00+00:00,2025-06-12 19:45:00+00:00,312,0.6122448979591837,0.4111111111111111,0.37755102040816324,0.39361702127659576,0.10958925093990116,0.5535714285714286,0.5843919200333194,0.6555676118327142,0.009524438656346031,-0.0039691984526333095,0.0,-0.0039691984526333095
7,20580,16314,294,2024-12-08 00:30:00+00:00,2025-07-10 09:15:00+00:00,2025-07-10 09:30:00+00:00,2025-07-13 10:45:00+00:00,9,0.5170068027210885,0.5186721991701245,0.8278145695364238,0.6377551020408163,0.021616804761232716,0.5083128791738063,0.5201222618441161,0.6904790854571264,0.017941475656674564,0.005255781912234243,0.024343356178033515,0.005255781912234243
8,23520,19186,294,2024-12-08 00:30:00+00:00,2025-08-10 00:15:00+00:00,2025-08-10 00:30:00+00:00,2025-08-13 01:45:00+00:00,3,0.5272108843537415,0.5085470085470085,0.8321678321678322,0.6312997347480106,0.08752757993023413,0.5352892140971611,0.547608021117955,0.6925080349365734,0.025116737198390325,0.06845821480998918,0.0,0.06845821480998918
9,26460,21794,294,2024-12-08 00:30:00+00:00,2025-09-09 15:15:00+00:00,2025-09-09 15:30:00+00:00,2025-09-12 16:45:00+00:00,17,0.5918367346938775,0.4578313253012048,0.336283185840708,0.3877551020408163,0.09473740979324138,0.5438322006551606,0.5441988950276243,0.6774105229557932,0.013440738517777967,0.01997285711287152,0.0,0.01997285711287152
10,29400,24036,294,2024-12-08 00:30:00+00:00,2025-10-10 06:15:00+00:00,2025-10-10 06:30:00+00:00,2025-10-13 07:45:00+00:00,1,0.45918367346938777,0.4396551724137931,0.7786259541984732,0.5619834710743802,-0.023052184025062837,0.49053997096426727,0.4772865639488596,0.6937445278351685,-0.05249381743476501,-0.09477949477592179,0.0,-0.09477949477592179
11,32340,26506,294,2024-12-08 00:30:00+00:00,2025-11-09 21:15:00+00:00,2025-11-09 21:30:00+00:00,2025-11-12 22:45:00+00:00,1,0.4965986394557823,0.42487046632124353,0.6890756302521008,0.5256410256410257,0.05663094359549048,0.5273949579831932,0.5571908763505402,0.6928044630168314,-0.0671462170886982,-0.01905273149077446,0.0,-0.01905273149077446
12,35280,28672,294,2024-12-08 00:30:00+00:00,2025-12-10 12:15:00+00:00,2025-12-10 12:30:00+00:00,2025-12-13 13:45:00+00:00,209,0.7074829931972789,0.49504950495049505,0.5882352941176471,0.5376344086021505,0.3286052623738473,0.672108077680833,0.714494793132564,0.579410389514395,0.10362963375807545,0.11737407078878129,0.027111142070608052,0.11737407078878129
13,38220,30342,294,2024-12-08 00:30:00+00:00,2026-01-10 03:15:00+00:00,2026-01-10 03:30:00+00:00,2026-01-13 04:45:00+00:00,139,0.7278911564625851,0.4696969696969697,0.40789473684210525,0.43661971830985913,0.25953594794878354,0.6236721390632545,0.7522935779816515,0.5198132200068052,0.008864100620025583,0.043326009656843766,0.07403681490170011,0.043326009656843766
14,41160,32630,294,2024-12-08 00:30:00+00:00,2026-02-09 18:15:00+00:00,2026-02-09 18:30:00+00:00,2026-02-12 19:45:00+00:00,1,0.4557823129251701,0.4539249146757679,1.0,0.6244131455399061,0.05309811115213068,0.5031055900621118,0.5449960304487929,0.6932929572327566,0.1732551045763099,0.13367951610674225,0.015956633664599762,0.13367951610674225
15,44100,35374,294,2024-12-08 00:30:00+00:00,2026-03-12 09:15:00+00:00,2026-03-12 09:30:00+00:00,2026-03-15 10:45:00+00:00,177,0.6190476190476191,0.3815789473684211,0.30851063829787234,0.3411764705882353,0.07830582607861868,0.5367553191489361,0.6159308510638299,0.6258396800681115,-0.006156104614173893,0.029448229986584938,0.0395869120336616,0.029448229986584938
16,47040,37392,294,2024-12-08 00:30:00+00:00,2026-04-12 00:15:00+00:00,2026-04-12 00:30:00+00:00,2026-04-15 01:45:00+00:00,106,0.5510204081632653,0.5141242937853108,0.6642335766423357,0.5796178343949044,0.11869107309997468,0.5582314380026965,0.6141615137849272,0.6678359444193342,0.1352619379107417,0.0948916134586907,0.019496629897638895,0.0948916134586907
17,49680,38816,319,2024-12-08 00:30:00+00:00,2026-05-09 12:15:00+00:00,2026-05-09 12:30:00+00:00,2026-05-12 20:00:00+00:00,211,0.774294670846395,0.42105263157894735,0.11594202898550725,0.18181818181818182,0.12515257913878666,0.5359710144927536,0.5800000000000001,0.5433380473321766,0.09315298044215367,0.08144407787108678,0.002185933867463463,0.08144407787108678
